iter	Logloss
0	0.587369426
1	0.5110809086
2	0.4665482693
3	0.424912496
4	0.3933467344
5	0.3684979619
6	0.3495859476
7	0.3350758733
8	0.3238361791
9	0.3149087562
10	0.3080193758
11	0.3031638996
12	0.2989764606
13	0.2948915857
14	0.2916171402
15	0.289197271
16	0.287266158
17	0.2857115704
18	0.284272688
19	0.282666724
20	0.2814926687
21	0.2802422353
22	0.2793830601
23	0.2788414952
24	0.2780185467
25	0.2775051164
26	0.2768471709
27	0.27636204
28	0.2758044683
29	0.2753430009
30	0.2749169961
31	0.2745712383
32	0.274285079
33	0.2739807516
34	0.2737684645
35	0.2734775856
36	0.2731980561
37	0.2730519945
38	0.2729272002
39	0.2727044048
40	0.2726019475
41	0.2724291362
42	0.2722543741
43	0.272029558
44	0.2719204909
45	0.2717867738
46	0.271614742
47	0.2715025698
48	0.2713686193
49	0.2712404121
50	0.2711442216
51	0.2710850323
52	0.2709584432
53	0.2708587192
54	0.2708010789
55	0.2707083263
56	0.2706526396
57	0.2705505161
58	0.2704095992
59	0.2703506372
60	0.2702705402
61	0.2701852445
62	0.270067605
63	0.2699928559
64	0.2699566585
65	0.2698812834
66	0.2698328472
67	0.2697676713
68	0.2697505549
69	0.2696925133
70	0.269646868
71	0.2694934924
72	0.269457089
73	0.269388046
74	0.2693060122
75	0.2692466264
76	0.2691749315
77	0.2691130552
78	0.2690661727
79	0.2690296838
80	0.2689639061
81	0.2689377939
82	0.268865494
83	0.2687687493
84	0.2687138965
85	0.2686491673
86	0.2686226085
87	0.2685857661
88	0.2685530366
89	0.2685064977
90	0.2684657415
91	0.2684012933
92	0.2683485915
93	0.2682956063
94	0.2682404988
95	0.2681874118
96	0.2680688275
97	0.2680292457
98	0.267922822
99	0.2678793657
100	0.2678330213
101	0.2677843165
102	0.2677500847
103	0.2677166535
104	0.2676881644
105	0.2676552749
106	0.267626343
107	0.2675555735
108	0.2675279534
109	0.2674808931
110	0.2674547757
111	0.2674010407
112	0.2673751919
113	0.2673411346
114	0.2672955411
115	0.2672743215
116	0.2672472316
117	0.2672115608
118	0.2671343764
119	0.2670674735
120	0.2670379004
121	0.2669952145
122	0.266956956
123	0.2669136713
124	0.2668926841
125	0.2668712557
126	0.2668378279
127	0.2668046278
128	0.2667497901
129	0.2667279522
