iter	Passed	Remaining
0	217	217695
1	339	169484
2	477	158618
3	547	136375
4	602	119869
5	665	110229
6	728	103288
7	801	99409
8	868	95648
9	930	92081
10	1013	91138
11	1084	89306
12	1145	86972
13	1204	84845
14	1275	83787
15	1336	82203
16	1395	80712
17	1449	79063
18	1511	78034
19	1575	77189
20	1638	76373
21	1697	75465
22	1756	74597
23	1814	73783
24	1875	73126
25	1935	72517
26	1999	72071
27	2072	71930
28	2131	71363
29	2190	70826
30	2250	70333
31	2309	69860
32	2369	69446
33	2428	68999
34	2488	68608
35	2546	68181
36	2603	67763
37	2663	67420
38	2723	67106
39	2782	66789
40	2840	66431
41	2898	66105
42	2958	65833
43	3021	65657
44	3088	65547
45	3146	65264
46	3210	65089
47	3268	64832
48	3328	64590
49	3386	64347
50	3448	64160
51	3507	63949
52	3565	63715
53	3623	63483
54	3683	63290
55	3741	63077
56	3799	62855
57	3857	62657
58	3920	62523
59	3978	62333
60	4047	62299
61	4107	62140
62	4168	61998
63	4228	61835
64	4284	61631
65	4352	61600
66	4425	61622
67	4491	61561
68	4595	62008
69	4653	61828
70	4715	61703
71	4776	61560
72	4834	61394
73	4895	61266
74	4955	61114
75	5020	61037
76	5082	60923
77	5143	60797
78	5203	60668
79	5263	60525
80	5321	60370
81	5381	60241
82	5442	60133
83	5502	60002
84	5561	59863
85	5621	59741
86	5681	59620
87	5742	59508
88	5800	59375
89	5861	59268
90	5921	59153
91	5982	59048
92	6050	59007
93	6110	58891
94	6172	58801
95	6230	58670
96	6288	58543
97	6346	58413
98	6407	58317
99	6466	58202
100	6525	58084
101	6585	57980
102	6647	57887
103	6706	57777
104	6767	57680
105	6827	57578
106	6887	57479
107	6947	57377
108	7013	57334
109	7090	57365
110	7149	57261
111	7207	57145
112	7265	57028
113	7325	56936
114	7386	56844
115	7443	56727
116	7502	56623
117	7564	56542
118	7623	56442
119	7682	56339
120	7741	56235
121	7802	56151
122	7861	56050
123	7920	55955
124	7979	55854
125	8047	55822
126	8106	55722
127	8164	55619
128	8261	55782
129	8330	55747
130	8387	55640
131	8446	55540
132	8506	55455
133	8569	55379
134	8628	55284
135	8687	55189
136	8749	55113
137	8811	55038
138	8869	54941
139	8928	54847
140	8991	54776
141	9057	54726
142	9116	54636
143	9173	54531
144	9232	54440
145	9292	54355
146	9351	54263
147	9409	54168
148	9469	54084
149	9530	54003
150	9589	53918
151	9648	53827
152	9709	53751
153	9768	53661
154	9827	53574
155	9884	53479
156	9947	53411
157	10012	53356
158	10075	53292
159	10134	53205
160	10195	53130
161	10253	53039
162	10309	52938
163	10367	52847
164	10424	52752
165	10483	52670
